x,y,RSSI,Distance
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-3,1
1,0,-5,1
1,0,-5,2
1,0,-4,2
1,0,-5,2
1,0,-3,2
1,0,-5,2
1,0,-5,2
1,0,-3,2
1,0,-5,2
1,0,-5,2
1,0,-3,2
1,0,-4,2
1,0,-4,2
1,0,-5,2
1,0,-3,2
1,0,-3,2
1,0,-4,2
2,0,-35,1
2,0,-35,1
2,0,-35,1
2,0,-38,1
2,0,-37,1
2,0,-38,1
2,0,-38,1
2,0,-38,1
2,0,-38,1
2,0,-38,1
2,0,-38,1
2,0,-38,1
2,0,-37,1
2,0,-38,1
2,0,-37,1
2,0,-39,1
2,0,-39,1
2,0,-38,1
2,0,-38,1
2,0,-38,1
2,0,-38,1
2,0,-38,1
2,0,-46,2
2,0,-47,2
2,0,-38,2
2,0,-38,2
2,0,-38,2
2,0,-45,2
2,0,-46,2
2,0,-38,2
2,0,-38,2
2,0,-43,2
2,0,-45,2
2,0,-38,2
2,0,-37,2
2,0,-38,2
2,0,-38,2
2,0,-38,2
2,0,-38,2
2,0,-43,2
2,0,-42,2
2,0,-38,2
2,0,-41,2
2,0,-39,2
2,0,-38,2
2,0,-42,2
2,0,-38,2
2,0,-38,2
2,0,-38,2
2,0,-42,2
2,0,-38,2
3,0,-37,3
3,0,-38,3
3,0,-38,3
3,0,-38,3
3,0,-37,3
3,0,-40,3
3,0,-42,3
3,0,-42,3
3,0,-42,3
3,0,-42,3
3,0,-43,3
3,0,-45,3
3,0,-39,3
3,0,-44,3
3,0,-44,3
3,0,-42,3
3,0,-38,3
3,0,-37,4
3,0,-37,4
3,0,-41,4
3,0,-42,4
3,0,-37,4
3,0,-38,4
3,0,-37,4
3,0,-43,4
3,0,-50,4
3,0,-61,4
3,0,-72,4
3,0,-59,4
4,0,-55,5
4,0,-52,5
4,0,-52,5
4,0,-52,5
4,0,-53,5
4,0,-56,5
4,0,-51,5
4,0,-53,5
4,0,-58,5
4,0,-55,5
4,0,-56,5
4,0,-54,5
4,0,-52,5
4,0,-54,5
4,0,-56,5
4,0,-54,5
4,0,-52,5
4,0,-56,5
4,0,-67,5
4,0,-51,5
4,0,-54,5
4,0,-61,5
4,0,-63,5
4,0,-62,6
4,0,-59,6
4,0,-62,6
4,0,-60,6
4,0,-60,6
4,0,-64,6
4,0,-57,6
4,0,-52,6
4,0,-54,6
4,0,-56,6
4,0,-54,6
4,0,-52,6
4,0,-56,6
4,0,-67,6
4,0,-51,6
4,0,-54,6
4,0,-61,6
4,0,-63,6
4,0,-62,6
4,0,-59,6
5,1,-69,7
5,1,-67,7
5,1,-74,7
5,1,-67,7
5,1,-65,7
5,1,-65,7
5,1,-70,7
5,1,-72,7
5,1,-66,7
5,1,-65,7
5,1,-65,7
5,1,-71,7
5,1,-75,7
5,1,-73,7
5,1,-81,8
5,1,-78,8
5,1,-78,8
5,1,-77,8
5,1,-78,8
5,1,-77,8
5,1,-71,8
5,1,-72,8
5,1,-70,8
5,1,-71,8
5,1,-71,8
5,1,-71,8
5,1,-72,8
5,1,-71,8
5,1,-71,8
5,1,-69,8
5,1,-70,8
5,1,-70,8
5,2,-71,8
5,2,-70,8
5,2,-71,8
5,2,-70,8
5,2,-69,9
5,2,-70,9
5,2,-70,9
5,2,-69,9
5,2,-70,9
5,2,-70,9
5,2,-69,9
5,2,-70,9
5,2,-68,9
5,2,-69,9
5,2,-69,9
5,2,-70,9
5,2,-70,9
5,2,-70,9
5,2,-73,9
5,2,-70,9
5,2,-71,9
5,2,-70,9
5,2,-71,9
5,2,-71,9
5,2,-71,9
5,2,-71,9
6,4,-72,10
6,4,-77,10
6,4,-84,10
6,4,-73,10
6,4,-78,10
6,4,-85,10
6,4,-93,10
6,4,-76,10
6,4,-74,10
6,4,-84,10
6,4,-87,10
6,4,-81,10
6,4,-82,10
6,4,-81,10
6,4,-85,10
6,4,-83,10
6,4,-86,10
6,4,-84,10
6,4,-89,10
6,4,-79,10
6,4,-77,10
6,4,-79,10
6,4,-83,10
6,4,-82,10
6,4,-81,10
6,4,-76,10
6,4,-84,10
6,4,-72,10
6,4,-81,10
6,4,-74,10
6,4,-75,10
6,4,-79,10
6,4,-70,10
6,4,-83,10
6,4,-91,10
6,4,-88,10
6,4,-76,10
6,4,-91,10
6,4,-78,10
6,4,-87,10
6,4,-74,10
6,4,-80,10
6,4,-76,10
6,4,-71,10
6,4,-66,10
6,4,-68,10
6,4,-73,10
6,4,-85,10
6,4,-87,10
6,4,-80,10
6,4,-79,10
6,4,-81,10
6,4,-83,10
6,4,-81,10
6,4,-79,10
6,4,-74,10
6,4,-74,10
6,4,-90,10
6,4,-80,10
6,4,-85,10
6,4,-92,10
6,4,-83,10
6,4,-87,10
6,4,-92,10
6,4,-92,10
6,4,-94,10
6,4,-89,10
